usia,jenis_kelamin,pekerjaan,durasi_tidur_menit,sering_terbangun_malam,mimpi_buruk,screen_sebelum_tidur,minum_kopi_hari_ini,merokok,konsumsi_alkohol,jam_kerja_menit,tingkat_beban_kerja,deadline_hari_ini,lembur,waktu_outdoor,aktivitas_hobi,suasana_hati,tingkat_kecemasan,tingkat_energi,konsentrasi,interaksi_sosial,konflik_interpersonal,merasa_kesepian,support_sistem,meditasi,stress_level
45,Perempuan,Karyawan,360.0,Ya,Tidak,14.0,Tidak,Ya,Tidak,519.0,3,Ya,Tidak,40.0,Tidak,Netral,3.6,3,3,3,Tidak,Tidak,3,Tidak,2
28,Laki-laki,Guru,269.0,Tidak,Tidak,128.0,Ya,Tidak,Ya,594.0,5,Tidak,Ya,0.0,Tidak,Negatif,3.1,2,2,2,Ya,Tidak,2,Ya,3
46,Perempuan,Guru,332.0,Ya,Ya,80.0,Ya,Tidak,Ya,586.0,3,Ya,Tidak,20.0,Tidak,Negatif,3.9,2,3,2,Ya,Ya,1,Tidak,3
38,Laki-laki,Mahasiswa,415.0,Tidak,Tidak,47.0,Tidak,Tidak,Tidak,543.0,4,Tidak,Tidak,26.0,Tidak,Negatif,2.1,3,4,3,Tidak,Ya,4,Tidak,2
32,Laki-laki,Irt,515.0,Tidak,Ya,27.0,Tidak,Tidak,Tidak,315.0,3,Ya,Tidak,58.0,Ya,Positif,1.9,3,4,4,Tidak,Ya,4,Ya,1
41,Perempuan,Dokter,524.0,Tidak,Tidak,61.0,Tidak,Tidak,Tidak,447.0,1,Tidak,Tidak,109.0,Ya,Positif,2.6,3,4,4,Tidak,Tidak,3,Ya,1
28,Perempuan,Karyawan,418.0,Tidak,Tidak,0.0,Tidak,Tidak,Tidak,302.0,1,Tidak,Tidak,82.0,Ya,Campur,1.6,4,5,4,Tidak,Tidak,4,Tidak,1
23,Perempuan,Dokter,401.0,Ya,Tidak,117.0,Ya,Ya,Tidak,657.0,4,Ya,Tidak,0.0,Tidak,Negatif,3.8,2,2,3,Ya,Ya,2,Tidak,3
38,Perempuan,Guru,449.0,Tidak,Tidak,49.0,Tidak,Tidak,Tidak,380.0,2,Ya,Ya,25.0,Ya,Positif,3.2,5,4,3,Tidak,Tidak,4,Tidak,2
49,Perempuan,Irt,361.0,Ya,Ya,133.0,Ya,Tidak,Tidak,583.0,4,Ya,Ya,7.0,Tidak,Campur,4.7,2,1,1,Ya,Ya,2,Tidak,3
40,Perempuan,Freelancer,548.0,Tidak,Tidak,49.0,Tidak,Tidak,Tidak,304.0,1,Tidak,Tidak,0.0,Ya,Campur,1.0,3,4,3,Tidak,Tidak,4,Tidak,1
39,Perempuan,Mahasiswa,365.0,Ya,Ya,105.0,Ya,Tidak,Tidak,558.0,3,Tidak,Ya,20.0,Tidak,Negatif,4.3,2,3,3,Ya,Tidak,2,Ya,3
26,Perempuan,Wirausaha,283.0,Ya,Ya,74.0,Ya,Tidak,Tidak,595.0,4,Ya,Ya,44.0,Tidak,Netral,4.3,1,2,3,Ya,Ya,1,Tidak,3
